Generation,evals,avg,std,min,max,best_one,fitness_best_one
10,84,[  23.48       3377.68849958],[ 0.59126982 37.24381374],[  23.         3257.40114373],[  25.         3429.76221713],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 96, 24, 65, 50, 40, 68, 55, 59, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 25, 12, 67, 76, 86, 19, 53, 8, 89, 18, 52, 22, 3, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 69, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(23.0, 3257.401143729764)"
11,88,[  23.45       3360.92158645],[ 0.55452683 38.41438767],[  23.         3257.40114373],[  25.         3413.81768079],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 96, 24, 65, 50, 40, 68, 55, 59, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 25, 12, 67, 76, 86, 19, 53, 8, 89, 18, 52, 22, 3, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 69, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(23.0, 3257.401143729764)"
12,74,[  23.47       3338.08639098],[ 0.59084685 33.22589837],[  23.         3257.40114373],[  25.        3386.9375714],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 96, 24, 65, 50, 40, 68, 55, 59, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 25, 12, 67, 76, 86, 19, 53, 8, 89, 18, 52, 22, 3, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 69, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(23.0, 3257.401143729764)"
13,84,[  23.43       3317.96200834],[ 0.63647467 36.04467918],[  22.        3182.0494402],[  25.         3355.58923554],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
14,88,[  23.23       3300.43908038],[ 0.52640289 39.75729805],[  22.        3182.0494402],[  25.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
15,82,[  23.25       3280.01529056],[ 0.55452683 36.6867823 ],[  22.        3182.0494402],[  25.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
16,84,[  23.18       3261.17500038],[ 0.53628351 32.07666861],[  22.        3182.0494402],[  25.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
17,86,[  23.02       3250.38834859],[ 0.4237924  33.42961195],[  22.        3182.0494402],[  24.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
18,80,[  22.98       3236.46109376],[ 0.39949969 37.2052594 ],[  22.        3147.4595592],[  24.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
19,84,[  22.97       3225.00808213],[ 0.4348563  40.51477918],[  22.        3147.4595592],[  24.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 26, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 73, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3222.941532257075)"
20,74,[  22.88       3213.75167253],[ 0.43081318 53.49339191],[  22.         3098.13008948],[  24.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3200.394304679963)"
21,72,[  22.87       3198.68077102],[ 0.52258971 64.11668043],[  22.         3093.05003224],[  24.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3200.394304679963)"
22,72,[  22.73       3191.72824747],[ 0.48692915 77.46617255],[  22.         3093.05003224],[  24.         3364.88177477],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3200.394304679963)"
23,70,[  22.65       3184.26999087],[ 0.51720402 89.46264711],[  22.         3085.13949874],[  24.         3364.88177477],"[37, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 51, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3179.523555659036)"
24,72,[  22.52       3185.43174752],[ 0.49959984 97.72935457],[  22.         3085.13949874],[  23.         3364.88177477],"[37, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 51, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3179.523555659036)"
25,74,[  22.57       3149.39517033],[ 0.49507575 58.34816282],[  22.         3030.09191067],[  23.      3274.60894],"[51, 16, 85, 58, 46, 87, 82, 8, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 35, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3168.7887021581682)"
26,84,[  22.52       3150.44783304],[ 0.5192302  61.45122268],[  22.         3030.09191067],[  24.         3229.09568284],"[51, 16, 85, 58, 46, 87, 82, 92, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 35, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3147.7076432179138)"
27,74,[  22.39       3160.81714002],[ 0.54580216 65.50082532],[  22.         3024.04882423],[  24.         3229.09568284],"[51, 16, 85, 58, 46, 87, 82, 92, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 35, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3147.7076432179138)"
28,78,[  22.43       3148.14229911],[ 0.58745213 67.48618632],[  22.         3009.42974733],[  24.         3222.94153226],"[51, 16, 85, 58, 46, 87, 82, 92, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 35, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3147.7076432179138)"
29,78,[  22.48       3137.14545898],[ 0.65543878 68.60151278],[  22.         3009.42974733],[  24.         3217.30276465],"[51, 16, 85, 58, 46, 87, 82, 92, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 35, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3147.7076432179138)"
30,84,[  22.44       3138.99938019],[ 0.71161787 73.15153531],[  22.         2991.20721908],[  24.         3205.76298286],"[51, 16, 85, 58, 46, 87, 82, 8, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 35, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 28, 1, 64, 99, 98, 13]","(22.0, 3142.4413077571453)"
31,88,[  22.63       3118.56374024],[ 0.78300702 70.72839507],[  22.         2991.20721908],[  24.         3200.39430468],"[51, 16, 85, 58, 46, 87, 82, 8, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 35, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 28, 1, 64, 99, 98, 13]","(22.0, 3142.4413077571453)"
32,80,[  22.86      3084.9434403],[ 0.80024996 67.23017585],[  22.         2949.61328393],[  24.         3179.52355566],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 88, 49, 47, 81, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 43, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 31, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3123.5777367891005)"
33,66,[  23.03       3058.09496934],[ 0.75438717 57.52819262],[  22.         2949.61328393],[  24.         3168.77633317],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 88, 49, 47, 81, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 43, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 31, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3123.5777367891005)"
34,86,[  22.97       3055.66745599],[ 0.7675285  63.10918122],[  22.         2949.61328393],[  24.         3162.27524948],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 88, 49, 47, 81, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 43, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 31, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3123.5777367891005)"
35,74,[  23.07       3041.87432672],[ 0.77788174 62.70842947],[  22.         2949.61328393],[  24.         3147.70764322],"[51, 16, 85, 58, 46, 87, 82, 92, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 43, 49, 47, 31, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 8, 89, 18, 52, 22, 59, 88, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 35, 80, 19, 6, 14, 38, 56, 74, 72, 41, 100, 45, 36, 15, 42, 84, 32, 81, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 94, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3122.6942021852383)"
36,90,[  23.13       3029.80501998],[ 0.73013697 57.57831372],[  22.         2949.61328393],[  24.         3142.44130776],"[51, 16, 85, 58, 46, 87, 82, 35, 63, 20, 25, 24, 65, 50, 40, 68, 55, 3, 44, 17, 88, 49, 47, 81, 34, 9, 33, 83, 37, 39, 75, 73, 23, 79, 5, 78, 11, 90, 30, 96, 12, 67, 76, 86, 69, 53, 89, 8, 18, 52, 22, 59, 43, 26, 27, 54, 29, 70, 66, 7, 21, 4, 62, 92, 80, 19, 6, 14, 38, 56, 74, 94, 41, 100, 45, 36, 15, 42, 84, 32, 31, 97, 57, 95, 71, 91, 61, 48, 60, 10, 77, 93, 72, 2, 99, 1, 64, 28, 98, 13]","(22.0, 3108.365920127436)"
