Generation,evals,avg,std,min,max,best_one,fitness_best_one
24,60,[  23.35      3250.6566183],[ 0.4769696  39.32434375],[  23.         3169.72311261],[  24.         3318.60045248],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 45, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 32, 48, 86, 73, 36, 62, 49, 10, 34, 83, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 20, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3169.7231126071183)"
25,74,[  23.54       3230.02918299],[ 0.53702886 32.32648122],[  23.         3169.72311261],[  25.        3289.1990992],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 45, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 32, 48, 86, 73, 36, 62, 49, 10, 34, 83, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 20, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3169.7231126071183)"
26,70,[  23.56       3212.72335948],[ 0.49638695 21.19650797],[  23.         3169.72311261],[  24.         3257.16672076],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 45, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 32, 48, 86, 73, 36, 62, 49, 10, 34, 83, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 20, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3169.7231126071183)"
27,56,[  23.4        3197.62621865],[ 0.48989795 15.10409516],[  23.         3169.72311261],[  24.        3225.3959555],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 45, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 32, 48, 86, 73, 36, 62, 49, 10, 34, 83, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 20, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3169.7231126071183)"
28,58,[  23.5        3188.92124298],[ 0.5        11.22441104],[  23.         3169.72311261],[  24.         3216.13189514],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 45, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 32, 48, 86, 73, 36, 62, 49, 10, 34, 83, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 20, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3169.7231126071183)"
29,48,[  23.25       3179.03129351],[0.4330127  9.91925871],[  23.         3124.04618098],[  24.         3191.87730299],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 45, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 32, 48, 86, 73, 36, 62, 49, 10, 34, 83, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 20, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3169.7231126071183)"
30,58,[  23.05       3174.30359837],[0.21794495 8.95084755],[  23.         3124.04618098],[  24.         3179.82031205],"[71, 54, 12, 28, 6, 9, 88, 8, 22, 57, 98, 78, 69, 27, 81, 76, 70, 36, 4, 72, 67, 35, 1, 55, 2, 38, 79, 23, 77, 73, 15, 45, 60, 5, 32, 49, 63, 30, 52, 43, 75, 53, 50, 95, 100, 14, 16, 85, 66, 34, 94, 42, 29, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 19, 87, 86, 41, 24, 3, 65, 31, 10, 20, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 96, 17, 89, 90, 62, 83, 59, 25, 64, 46, 7, 18, 48, 39, 99, 97]","(23.0, 3163.598090945974)"
31,56,[  23.05       3170.83591514],[0.21794495 8.50304907],[  23.         3124.04618098],[  24.         3179.82031205],"[71, 54, 12, 28, 22, 9, 88, 8, 76, 96, 4, 78, 69, 27, 67, 6, 72, 25, 98, 70, 81, 35, 1, 55, 2, 38, 79, 77, 23, 24, 15, 100, 60, 57, 19, 65, 63, 30, 52, 43, 75, 29, 50, 95, 32, 14, 16, 85, 66, 31, 94, 42, 53, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 83, 45, 48, 86, 20, 36, 62, 49, 10, 34, 80, 51, 33, 58, 92, 44, 84, 37, 47, 11, 82, 5, 17, 89, 90, 3, 73, 59, 87, 64, 46, 7, 18, 41, 39, 99, 97]","(23.0, 3146.794896392078)"
32,68,[  23.08       3165.28690055],[ 0.30594117 13.10094616],[  23.         3096.47539595],[  25.         3172.70481303],"[71, 54, 12, 28, 6, 9, 88, 8, 22, 73, 98, 78, 69, 27, 81, 76, 70, 36, 4, 72, 67, 35, 1, 55, 2, 38, 79, 23, 77, 57, 15, 45, 60, 5, 32, 49, 63, 30, 52, 43, 75, 53, 50, 95, 100, 14, 16, 85, 66, 34, 94, 42, 29, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 19, 87, 86, 41, 24, 3, 65, 31, 10, 20, 51, 33, 58, 92, 44, 84, 17, 47, 11, 82, 96, 37, 89, 90, 62, 83, 59, 25, 64, 46, 7, 18, 48, 39, 99, 97]","(23.0, 3096.475395954165)"
33,56,[  23.17      3161.5334912],[ 0.44844175 16.20762706],[  23.         3096.47539595],[  25.         3169.72311261],"[71, 54, 12, 28, 6, 9, 88, 8, 22, 73, 98, 78, 69, 27, 81, 76, 70, 36, 4, 72, 67, 35, 1, 55, 2, 38, 79, 23, 77, 57, 15, 45, 60, 5, 32, 49, 63, 30, 52, 43, 75, 53, 50, 95, 100, 14, 16, 85, 66, 34, 94, 42, 29, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 19, 87, 86, 41, 24, 3, 65, 31, 10, 20, 51, 33, 58, 92, 44, 84, 17, 47, 11, 82, 96, 37, 89, 90, 62, 83, 59, 25, 64, 46, 7, 18, 48, 39, 99, 97]","(23.0, 3096.475395954165)"
34,76,[  23.27       3154.97918528],[ 0.5450688  20.63274678],[  23.         3096.47539595],[  25.         3169.72311261],"[71, 54, 12, 28, 6, 9, 88, 8, 22, 73, 98, 78, 69, 27, 81, 76, 70, 36, 4, 72, 67, 35, 1, 55, 2, 38, 79, 23, 77, 57, 15, 45, 60, 5, 32, 49, 63, 30, 52, 43, 75, 53, 50, 95, 100, 14, 16, 85, 66, 34, 94, 42, 29, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 19, 87, 86, 41, 24, 3, 65, 31, 10, 20, 51, 33, 58, 92, 44, 84, 17, 47, 11, 82, 96, 37, 89, 90, 62, 83, 59, 25, 64, 46, 7, 18, 48, 39, 99, 97]","(23.0, 3096.475395954165)"
35,52,[  23.45       3143.61942884],[ 0.63835727 22.26830174],[  23.         3096.47539595],[  25.         3169.38808095],"[71, 54, 12, 28, 6, 9, 88, 8, 22, 73, 98, 78, 69, 27, 81, 76, 70, 36, 4, 72, 67, 35, 1, 55, 2, 38, 79, 23, 77, 57, 15, 45, 60, 5, 32, 49, 63, 30, 52, 43, 75, 53, 50, 95, 100, 14, 16, 85, 66, 34, 94, 42, 29, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 19, 87, 86, 41, 24, 3, 65, 31, 10, 20, 51, 33, 58, 92, 44, 84, 17, 47, 11, 82, 96, 37, 89, 90, 62, 83, 59, 25, 64, 46, 7, 18, 48, 39, 99, 97]","(23.0, 3096.475395954165)"
36,48,[  23.38       3128.00619514],[ 0.48538644 19.74986881],[  23.         3096.47539595],[  24.         3155.66656415],"[71, 54, 12, 28, 6, 9, 88, 8, 22, 73, 98, 78, 69, 27, 81, 76, 70, 36, 4, 72, 67, 35, 1, 55, 2, 38, 79, 23, 77, 57, 15, 45, 60, 5, 32, 49, 63, 30, 52, 43, 75, 53, 50, 95, 100, 14, 16, 85, 66, 34, 94, 42, 29, 56, 74, 13, 26, 93, 21, 91, 61, 68, 40, 80, 19, 87, 86, 41, 24, 3, 65, 31, 10, 20, 51, 33, 58, 92, 44, 84, 17, 47, 11, 82, 96, 37, 89, 90, 62, 83, 59, 25, 64, 46, 7, 18, 48, 39, 99, 97]","(23.0, 3096.475395954165)"
