Generation,evals,avg,std,min,max,best_one,fitness_best_one
10,90,[  23.64       3429.64572234],[ 0.62481997 52.68309769],[  23.         3292.41532887],[  25.        3512.7203936],"[19, 49, 64, 16, 84, 25, 92, 87, 100, 86, 58, 21, 70, 18, 31, 91, 33, 48, 10, 94, 90, 81, 63, 45, 66, 46, 83, 28, 37, 79, 76, 30, 71, 26, 51, 54, 88, 57, 8, 42, 61, 59, 73, 11, 15, 13, 53, 22, 23, 75, 1, 43, 38, 47, 82, 78, 29, 89, 36, 24, 12, 14, 44, 93, 74, 69, 32, 65, 67, 50, 20, 3, 17, 55, 2, 85, 39, 68, 77, 56, 60, 5, 95, 62, 72, 4, 80, 97, 6, 52, 9, 7, 99, 34, 40, 35, 27, 98, 96, 41]","(23.0, 3361.415803819748)"
11,86,[  23.68      3404.8040454],[ 0.66151342 60.3985133 ],[  23.         3208.29119464],[  25.         3487.81748756],"[19, 49, 64, 16, 84, 25, 92, 87, 100, 86, 58, 21, 70, 18, 31, 91, 33, 48, 10, 94, 90, 81, 63, 45, 66, 46, 83, 28, 37, 79, 76, 30, 71, 26, 51, 54, 88, 40, 8, 42, 61, 59, 73, 11, 15, 13, 53, 22, 23, 75, 1, 43, 38, 47, 35, 78, 29, 89, 36, 24, 12, 14, 44, 93, 74, 69, 32, 65, 67, 50, 20, 3, 17, 55, 2, 85, 39, 68, 77, 56, 60, 5, 95, 62, 72, 4, 80, 97, 6, 52, 9, 7, 99, 34, 57, 82, 27, 98, 96, 41]","(23.0, 3358.8429016763066)"
12,88,[  23.83       3373.78739314],[ 0.76229915 65.28898922],[  23.         3120.66550862],[  25.         3465.52418543],"[99, 88, 29, 33, 28, 63, 47, 31, 77, 41, 75, 97, 91, 93, 42, 13, 90, 72, 73, 96, 15, 39, 12, 24, 78, 86, 87, 1, 64, 62, 50, 68, 57, 43, 74, 11, 70, 6, 36, 48, 38, 37, 51, 18, 84, 89, 82, 8, 95, 54, 32, 83, 94, 40, 53, 79, 4, 59, 22, 92, 7, 21, 76, 25, 14, 16, 58, 20, 81, 61, 98, 52, 34, 35, 65, 71, 17, 46, 5, 30, 26, 23, 100, 2, 85, 67, 56, 19, 10, 80, 44, 60, 45, 49, 9, 3, 55, 27, 69, 66]","(23.0, 3309.5912669057893)"
13,92,[  23.79       3350.13325816],[ 0.85199765 79.08545798],[  23.         3088.81978119],[  26.         3462.77717967],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
14,72,[  23.73       3309.78294762],[ 0.82286086 86.6727276 ],[  23.         3088.81978119],[  26.         3438.68452229],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
15,86,[  23.82       3271.23166888],[ 0.8292165 81.0993683],[  23.         3088.81978119],[  25.         3384.48394892],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
16,88,[  23.82       3241.43045466],[ 0.85299472 83.87375258],[  23.         3086.03781811],[  26.         3361.41580382],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
17,72,[  24.03       3195.37302627],[ 0.87698347 62.90718622],[  23.         3086.03781811],[  26.         3308.89375274],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
18,90,[  24.11       3172.47469092],[ 0.90437824 59.23533988],[  23.        3084.4145942],[  26.         3292.37248013],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
19,66,[  24.13       3147.36841807],[ 0.89056162 54.39543384],[  23.         3050.19094315],[  26.         3260.80546065],"[89, 69, 46, 23, 64, 35, 49, 11, 90, 1, 77, 31, 17, 98, 10, 65, 63, 70, 8, 93, 75, 13, 55, 25, 5, 86, 37, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 79, 20, 32, 78, 92, 74, 80, 67, 56, 44, 83, 84, 99, 21, 48, 85, 15, 24, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 58, 45, 9, 54, 52, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 68, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 40, 87, 16, 59]","(23.0, 3152.468008040487)"
20,84,[  24.19       3125.11214447],[ 0.84492603 40.67117238],[  23.         3050.19094315],[  25.         3234.40081404],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 77, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(23.0, 3056.0975367696074)"
21,72,[  23.95       3121.79484688],[ 0.87607077 46.86389232],[  23.         3050.19094315],[  25.         3213.14128418],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 77, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 30, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(23.0, 3056.0975367696074)"
22,76,[  23.98       3101.69050468],[ 0.86     36.664982],[  23.         2946.40210869],[  25.         3169.04939601],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(23.0, 2946.402108693135)"
23,76,[  23.75      3090.1922762],[ 0.81700673 44.17050155],[  23.         2946.40210869],[  25.         3153.96846808],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(23.0, 2946.402108693135)"
24,76,[  23.75       3064.74056403],[ 0.79214898 40.2830172 ],[  23.         2913.29106997],[  25.         3137.40512199],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 79, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 39, 44, 16, 59]","(23.0, 2913.291069969837)"
25,82,[  23.46       3047.91415614],[ 0.68439755 44.26100661],[  23.         2913.29106997],[  25.         3127.52312444],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 79, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 39, 44, 16, 59]","(23.0, 2913.291069969837)"
26,82,[  23.29       3034.47935704],[ 0.49588305 44.15671316],[  23.         2913.29106997],[  25.         3087.61734832],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 79, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 39, 44, 16, 59]","(23.0, 2913.291069969837)"
27,80,[  23.16       3020.11488991],[ 0.36660606 45.07234548],[  23.         2913.29106997],[  24.         3061.88126037],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 79, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 39, 44, 16, 59]","(23.0, 2913.291069969837)"
28,90,[  23.17       3000.56602578],[ 0.3756328  48.65051511],[  23.         2913.29106997],[  24.         3056.09753677],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 78, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 79, 53, 47, 82, 18, 76, 40, 20, 32, 10, 13, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 39, 44, 16, 59]","(23.0, 2913.291069969837)"
29,72,[  23.18       2967.63836126],[ 0.40938979 41.51010693],[  22.         2897.22913037],[  24.         3098.30579227],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 5, 83, 24, 78, 65, 63, 13, 8, 23, 75, 95, 55, 25, 31, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 70, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 93, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3098.3057922690778)"
30,86,[  23.05       2942.19585967],[ 0.29580399 33.66347357],[  22.         2869.17426218],[  24.         3119.14357677],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 5, 83, 24, 78, 65, 63, 13, 8, 23, 75, 95, 55, 25, 31, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 70, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 93, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3098.3057922690778)"
31,86,[  22.99       2932.79474583],[ 0.26438608 37.97670493],[  22.         2869.17426218],[  24.         3119.14357677],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 13, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 78, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3064.39816698453)"
32,82,[  22.98       2931.02913186],[ 0.34583233 50.66443627],[  22.         2869.17426218],[  24.         3136.71378326],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 13, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 78, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3064.39816698453)"
33,78,[  22.97       2929.25055962],[ 0.4112177  60.41942433],[  22.         2869.17426218],[  24.         3136.71378326],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 13, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 78, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3064.39816698453)"
34,72,[  22.95       2935.35493158],[ 0.49749372 76.74468335],[  22.         2855.64760366],[  24.         3237.52496698],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 13, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 78, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3064.39816698453)"
35,72,[  22.93       2942.05058157],[ 0.57017541 89.06173169],[  22.         2855.64760366],[  24.         3237.52496698],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 13, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 78, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3064.39816698453)"
36,84,[  22.9        2950.11135462],[ 0.65574385 96.94339641],[  22.         2855.64760366],[  24.         3237.52496698],"[89, 68, 46, 52, 35, 64, 49, 11, 54, 1, 30, 31, 83, 24, 13, 65, 63, 70, 8, 23, 75, 93, 55, 25, 5, 86, 58, 77, 4, 34, 19, 39, 53, 47, 82, 18, 76, 40, 20, 32, 10, 78, 74, 80, 67, 56, 87, 17, 84, 99, 21, 48, 85, 15, 98, 3, 81, 94, 100, 62, 36, 61, 60, 96, 2, 51, 71, 29, 12, 37, 45, 9, 90, 92, 72, 42, 26, 73, 38, 43, 14, 33, 28, 95, 97, 69, 27, 50, 88, 66, 91, 6, 7, 22, 41, 57, 79, 44, 16, 59]","(22.0, 3064.39816698453)"
